# Audio data: 120064 samples
# Sample rate: 32000 Hz
# Sample width: 16 bits
# Format: sample_number, value
0, 32768
1, 32450
2, 32768
3, 32467
4, 32768
5, 32471
6, 32768
7, 32490
8, 32768
9, 32507
10, 32768
11, 32508
12, 32768
13, 32505
14, 32768
15, 32513
16, 32768
17, 32507
18, 32768
19, 32497
20, 32768
21, 32511
22, 32768
23, 32523
24, 32768
25, 32514
26, 32768
27, 32514
28, 32768
29, 32509
30, 32768
31, 32499
32, 32768
33, 32502
34, 32768
35, 32498
36, 32768
37, 32492
38, 32768
39, 32485
40, 32768
41, 32473
42, 32768
43, 32478
44, 32768
45, 32493
46, 32768
47, 32490
48, 32768
49, 32472
50, 32768
51, 32461
52, 32768
53, 32462
54, 32768
55, 32467
56, 32768
57, 32464
58, 32768
59, 32460
60, 32768
61, 32459
62, 32768
63, 32467
64, 32768
65, 32479
66, 32768
67, 32490
68, 32768
69, 32488
70, 32768
71, 32492
72, 32768
73, 32500
74, 32768
75, 32500
76, 32768
77, 32491
78, 32768
79, 32493
80, 32768
81, 32502
82, 32768
83, 32523
84, 32768
85, 32539
86, 32768
87, 32537
88, 32768
89, 32539
90, 32768
91, 32545
92, 32768
93, 32541
94, 32768
95, 32537
96, 32768
97, 32533
98, 32768
99, 32517
100, 32768
101, 32501
102, 32768
103, 32511
104, 32768
105, 32508
106, 32768
107, 32485
108, 32768
109, 32470
110, 32768
111, 32451
112, 32768
113, 32436
114, 32768
115, 32437
116, 32768
117, 32437
118, 32768
119, 32444
120, 32768
121, 32466
122, 32768
123, 32482
124, 32768
125, 32475
126, 32768
127, 32472
128, 32768
129, 32477
130, 32768
131, 32474
132, 32768
133, 32480
134, 32768
135, 32489
136, 32768
137, 32485
138, 32768
139, 32495
140, 32768
141, 32522
142, 32768
143, 32502
144, 32768
145, 32482
146, 32768
147, 32483
148, 32768
149, 32502
150, 32768
151, 32445
152, 32768
153, 32433
154, 32768
155, 32492
156, 32768
157, 32448
158, 32768
159, 32406
160, 32768
161, 32441
162, 32768
163, 32460
164, 32768
165, 32450
166, 32768
167, 32487
168, 32768
169, 32475
170, 32768
171, 32425
172, 32768
173, 32507
174, 32768
175, 32626
176, 32768
177, 32657
178, 32768
179, 32607
180, 32768
181, 32554
182, 32768
183, 32523
184, 32768
185, 32443
186, 32768
187, 32364
188, 32768
189, 32347
190, 32768
191, 32362
192, 32768
193, 32369
194, 32768
195, 32358
196, 32768
197, 32407
198, 32768
199, 32451
200, 32768
201, 32412
202, 32768
203, 32426
204, 32768
205, 32483
206, 32768
207, 32462
208, 32768
209, 32429
210, 32768
211, 32458
212, 32768
213, 32486
214, 32768
215, 32534
216, 32768
217, 32582
218, 32768
219, 32595
220, 32768
221, 32585
222, 32768
223, 32562
224, 32768
225, 32571
226, 32768
227, 32593
228, 32768
229, 32566
230, 32768
231, 32561
232, 32768
233, 32525
234, 32768
235, 32460
236, 32768
237, 32439
238, 32768
239, 32461
240, 32768
241, 32399
242, 32768
243, 32398
244, 32768
245, 32430
246, 32768
247, 32390
248, 32768
249, 32367
250, 32768
251, 32411
252, 32768
253, 32474
254, 32768
255, 32507
256, 32768
257, 32463
258, 32768
259, 32464
260, 32768
261, 32465
262, 32768
263, 32455
264, 32768
265, 32452
266, 32768
267, 32462
268, 32768
269, 32466
270, 32768
271, 32467
272, 32768
273, 32473
274, 32768
275, 32482
276, 32768
277, 32478
278, 32768
279, 32464
280, 32768
281, 32461
282, 32768
283, 32472
284, 32768
285, 32476
286, 32768
287, 32480
288, 32768
289, 32479
290, 32768
291, 32476
292, 32768
293, 32475
294, 32768
295, 32477
296, 32768
297, 32488
298, 32768
299, 32479
300, 32768
301, 32464
302, 32768
303, 32462
304, 32768
305, 32461
306, 32768
307, 32458
308, 32768
309, 32462
310, 32768
311, 32467
312, 32768
313, 32463
314, 32768
315, 32454
316, 32768
